AT1G08910.1	A0A0A7EPL0-2
AT5G51560.1	A0A178UFM8
AT3G60460.1	A0A178VEK7
AT1G56060.2	A0A178WF56
AT3G50610.2	A0A1I9LMX5
AT3G55850.1	A0A1I9LN01-2
AT3G55850.5	A0A1I9LN01-1
AT3G55850.6	A0A1I9LN01-2
AT1G65486.3	A0A1P8AQ95
AT1G08840.2	A0A1P8ASY1-2
AT1G08840.3	A0A1P8ASY1-1
AT1G08840.4	A0A1P8ASY1-3
AT1G67120.1	A0A1P8AUY4-2
AT1G67120.2	A0A1P8AUY4-1
AT1G11160.2	A0A1P8AW69
AT1G80390.1	A0A2H1ZEF6
AT1G22890.1	A0JQ18
AT2G40220.1	A0MES8
AT5G45830.2	A0SVK0-2
AT5G45830.3	A0SVK0-1
AT5G45830.6	A0SVK0-2
AT1G17160.1	A1A6H3
AT4G13670.1	A1A6M1-1
AT4G13670.2	A1A6M1-2
AT4G13670.4	A1A6M1-2
AT3G18550.1	A1YKT1-1
AT3G18550.2	A1YKT1-2
AT3G18550.4	A1YKT1-1
AT5G10010.1	A2RVJ8
AT4G27490.1	A2RVK7
AT4G27490.3	A2RVK7
AT4G27490.4	A2RVK7
AT4G23430.1	A2RVM0-2
AT4G23430.2	A2RVM0-1
AT4G23430.3	A2RVM0-3
At1g31720	A2RVU1
AT5G44750.1	A3EWL3-2
AT5G44750.2	A3EWL3-1
AT5G49020.1	A3KPF2-1
AT5G49020.2	A3KPF2-2
AT4G16740.1	A4FVP2-1
AT4G16740.2	A4FVP2-2
AT1G34180.1	A4FVP6
AT4G25970.1	A4GNA8
AT1G79280.1	A4GSN8-1
AT1G79280.2	A4GSN8-2
AT1G79280.3	A4GSN8-3
AT5G15540.1	A5HEI1-1
AT5G15540.2	A5HEI1-2
AT4G31400.1	A7UL74
AT3G55260.1	A7WM73
AT4G21060.2	A7XDQ9-1
AT3G16290.1	A8MPR5
AT1G10717.1	A8MQA5
AT1G04300.2	A8MQL1-2
AT1G04300.3	A8MQL1-1
AT4G09960.3	A8MQL9
AT5G64170.1	A8MQN2-2
AT5G64170.2	A8MQN2-1
AT5G64170.3	A8MQN2-1
AT4G01540.1	A8MQY1-1
